local-authority-discovery	local-authority	uk
NTH	local-authority-eng:NTH	ENG
NTT	local-authority-eng:NTT	ENG
NTY	local-authority-eng:NTY	ENG
WAR-UC	local-authority-eng:NUA	ENG
WAR-UB	local-authority-eng:NWK	ENG
LEC-UH	local-authority-eng:NWL	ENG
NWM	local-authority-eng:NWM	ENG
NYK	local-authority-eng:NYK	ENG
LEC-UJ	local-authority-eng:OAA	ENG
OLD	local-authority-eng:OLD	ENG
OXF-UC	local-authority-eng:OXC	ENG
OXF	local-authority-eng:OXF	ENG
LAN-UJ	local-authority-eng:PEB	ENG
PLY	local-authority-eng:PLY	ENG
POL	local-authority-eng:POL	ENG
POR	local-authority-eng:POR	ENG
LAN-UK	local-authority-eng:PRC	ENG
PTE	local-authority-eng:PTE	ENG
DOR-UG	local-authority-eng:PUD	ENG
RCC	local-authority-eng:RCC	ENG
ESS-UL	local-authority-eng:RCF	ENG
NTT-UJ	local-authority-eng:RUC	ENG
RCH	local-authority-eng:RCH	ENG
RDB	local-authority-eng:RDB	ENG
RDG	local-authority-eng:RDG	ENG
SRY-UF	local-authority-eng:REA	ENG
WOR-UD	local-authority-eng:REB	ENG
WAR-UD	local-authority-eng:RGB	ENG
RIC	local-authority-eng:RIC	ENG
NYK-UE	local-authority-eng:RID	ENG
LAN-UL	local-authority-eng:RIV	ENG
LAN-UM	local-authority-eng:ROB	ENG
ROT	local-authority-eng:ROT	ENG
HAM-UL	local-authority-eng:RSM	ENG
ESX-UG	local-authority-eng:RTR	ENG
RUT	local-authority-eng:RUT	ENG
NYK-UF	local-authority-eng:RYD	ENG
SRY-UG	local-authority-eng:RYM	ENG
HRT-UG	local-authority-eng:SAC	ENG
SAW	local-authority-eng:SAW	ENG
NYK-UH	local-authority-eng:SBY	ENG
NYK-UG	local-authority-eng:SCB	ENG
SFK-UF	local-authority-eng:SDM	ENG
SFK	local-authority-eng:SFK	ENG
SFT	local-authority-eng:SFT	ENG
SGC	local-authority-eng:SGC	ENG
SOM-UC	local-authority-eng:SGM	ENG
DEV-UG	local-authority-eng:SHA	ENG
KEN-UL	local-authority-eng:SHD	ENG
SHF	local-authority-eng:SHF	ENG
SOL	local-authority-eng:SHL	ENG
SHN	local-authority-eng:SHN	ENG
LIN-UF	local-authority-eng:SHO	ENG
SHR	local-authority-eng:SHR	ENG
SKP	local-authority-eng:SKP	ENG
CMA-UG	local-authority-eng:SLA	ENG
SLF	local-authority-eng:SLF	ENG
SLG	local-authority-eng:SLG	ENG
SND	local-authority-eng:SND	ENG
NTH-UG	local-authority-eng:SNH	ENG
NFK-UH	local-authority-eng:SNK	ENG
WAR-UE	local-authority-eng:SOA	ENG
BKM-UE	local-authority-eng:SOB	ENG
CAM-UG	local-authority-eng:SOC	ENG
DBY-UK	local-authority-eng:SOD	ENG
LIN-UG	local-authority-eng:SOK	ENG
SOM	local-authority-eng:SOM	ENG
LAN-UN	local-authority-eng:SOR	ENG
STE	local-authority-eng:SOT	ENG
OXF-UD	local-authority-eng:SOX	ENG
SRY-UH	local-authority-eng:SPB	ENG
GLS-UF	local-authority-eng:SRD	ENG
SRY	local-authority-eng:SRY	ENG
SOS	local-authority-eng:SSE	ENG
SOM-UD	local-authority-eng:SSM	ENG
STS-UF	local-authority-eng:SST	ENG
STS-UG	local-authority-eng:STA	ENG
STH	local-authority-eng:STH	ENG
STS-UH	local-authority-eng:STM	ENG
STN	local-authority-eng:STN	ENG
STS	local-authority-eng:STS	ENG
STT	local-authority-eng:STT	ENG
HRT-UH	local-authority-eng:STV	ENG
STY	local-authority-eng:STY	ENG
SFK-UG	local-authority-eng:SUC	ENG
SRY-UJ	local-authority-eng:SUH	ENG
KEN-UK	local-authority-eng:SVK	ENG
KEN-UM	local-authority-eng:SWB	ENG
SWD	local-authority-eng:SWD	ENG
SWK	local-authority-eng:SWK	ENG
STS-UK	local-authority-eng:TAB	ENG
TAM	local-authority-eng:TAM	ENG
DEV-UH	local-authority-eng:TBG	ENG
SOM-UE	local-authority-eng:TDE	ENG
SRY-UK	local-authority-eng:TDG	ENG
ESS-UN	local-authority-eng:TDR	ENG
GLS-UG	local-authority-eng:TEB	ENG
HAM-UN	local-authority-eng:TEV	ENG
TFW	local-authority-eng:TFW	ENG
KEN-UN	local-authority-eng:THD	ENG
KEN-UP	local-authority-eng:TOA	ENG
TOB	local-authority-eng:TOB	ENG
DEV-UK	local-authority-eng:TOD	ENG
TRF	local-authority-eng:TRF	ENG
HRT-UJ	local-authority-eng:TRR	ENG
THR	local-authority-eng:TUK	ENG
KEN-UQ	local-authority-eng:TUW	ENG
TWH	local-authority-eng:TWH	ENG
ESS-UQ	local-authority-eng:UTD	ENG
OXF-UE	local-authority-eng:VAO	ENG
WBK	local-authority-eng:WBK	ENG
DEV-UL	local-authority-eng:WDE	ENG
DOR-UH	local-authority-eng:WDO	ENG
NTH-UH	local-authority-eng:WEB	ENG
HRT-UL	local-authority-eng:WEH	ENG
OXF-UF	local-authority-eng:WEO	ENG
SOM-UF	local-authority-eng:WES	ENG
WFT	local-authority-eng:WFT	ENG
WGN	local-authority-eng:WGN	ENG
HAM-UP	local-authority-eng:WIC	ENG
WIL	local-authority-eng:WIL	ENG
WKF	local-authority-eng:WKF	ENG
SRY-UM	local-authority-eng:WKG	ENG
WAR	local-authority-eng:WKS	ENG
LAN-UP	local-authority-eng:WLA	ENG
ESX-UH	local-authority-eng:WLD	ENG
LIN-UH	local-authority-eng:WLI	ENG
WLL	local-authority-eng:WLL	ENG
WLV	local-authority-eng:WLV	ENG
WND	local-authority-eng:WND	ENG
WNM	local-authority-eng:WNM	ENG
SFK-UH	local-authority-eng:WNY	ENG
