ONS	OS
E05001277	7000000000042381
E05001278	7000000000000082
E05001279	7000000000042373
E05001280	7000000000042380
E05001281	7000000000000078
E05001282	7000000000000136
E05001283	7000000000000134
E05006598	7000000000008429
E05006599	7000000000008404
E05006600	7000000000042029
E05006601	7000000000008437
E05006602	7000000000008432
E05006603	7000000000042027
E05006604	7000000000042028
E05006605	7000000000008659
E05006606	7000000000008775
E05006607	7000000000008783
E05006608	7000000000008403
E05006609	7000000000008590
E05006610	7000000000008566
E05006611	7000000000008551
E05006612	7000000000042026
E05006613	7000000000008396
E05006614	7000000000008556
E05006615	7000000000008382
E05006616	7000000000008536
E05006617	7000000000008622
E05006618	7000000000008543
E05006619	7000000000008486
E05006620	7000000000008434
E05006621	7000000000008592
E05006622	7000000000008578
E05006623	7000000000008443
E05006624	7000000000008406
E05006625	7000000000008562
E05006626	7000000000008563
E05006964	7000000000015158
E05006965	7000000000015152
E05006966	7000000000015168
E05006967	7000000000015154
E05006968	7000000000015126
E05006969	7000000000015142
E05006970	7000000000015159
E05006971	7000000000015156
E05006972	7000000000015146
E05006973	7000000000015162
E05006974	7000000000041826
E05006975	7000000000015042
E05006976	7000000000015179
E05006977	7000000000015151
E05006978	7000000000015165
E05006979	7000000000015141
E05006980	7000000000041827
E05006981	7000000000015128
E05006982	7000000000015143
E05006983	7000000000015164
E05006984	7000000000015147
E05006985	7000000000015148
E05006986	7000000000015127
E05006987	7000000000015149
E05004021	7000000000019765
E05004022	7000000000019767
E05004023	7000000000019737
E05004024	7000000000041788
E05004025	7000000000019738
E05004026	7000000000019741
E05004027	7000000000019743
E05004028	7000000000019742
E05004029	7000000000019740
E05004030	7000000000019709
E05004031	7000000000019657
E05004032	7000000000041789
E05004033	7000000000019659
E05004034	7000000000019645
E05004035	7000000000019643
E05004036	7000000000041790
E05000128	7000000000011364
E05000129	7000000000011120
E05000130	7000000000011358
E05000131	7000000000011239
E05000132	7000000000011342
E05000133	7000000000011340
E05000134	7000000000011246
E05000135	7000000000011363
E05000136	7000000000011247
E05000137	7000000000011361
E05000138	7000000000011117
E05000139	7000000000011245
E05000140	7000000000011339
E05000141	7000000000011119
E05000142	7000000000011357
E05000143	7000000000011277
E05000144	7000000000011338
E05000145	7000000000011341
E05005890	7000000000006821
E05005891	7000000000006693
E05005892	7000000000007133
E05005893	7000000000006413
E05005894	7000000000006437
E05005895	7000000000006733
E05005896	7000000000006684
E05005897	7000000000006670
E05005898	7000000000006826
E05005899	7000000000006812
E05005900	7000000000006719
E05005901	7000000000006727
E05005902	7000000000006809
E05005903	7000000000006691
E05005904	7000000000007129
E05005905	7000000000006725
E05005906	7000000000006415
E05005907	7000000000006739
E05005908	7000000000006686
E05005909	7000000000006689
E05005910	7000000000006454
E05005911	7000000000006816
E05005912	7000000000006731
E05005913	7000000000006432
E05005914	7000000000042268
E05005915	7000000000172231
E05005916	7000000000006737
E05005917	7000000000006819
E05005918	7000000000006418
E05005919	7000000000006424
E05005920	7000000000006408
E05005921	7000000000006426
E05005922	7000000000043517
E05005923	7000000000006451
E05005924	7000000000006665
E05005925	7000000000172232
E05005034	7000000000018040
E05005035	7000000000018673
E05005036	7000000000018009
E05005037	7000000000017982
E05005038	7000000000018013
E05005039	7000000000017991
E05005040	7000000000018016
E05005041	7000000000018015
E05005042	7000000000017983
E05005043	7000000000017984
E05005044	7000000000018012
E05005045	7000000000017988
E05005046	7000000000018084
E05005047	7000000000017990
E05005048	7000000000018050
E05005049	7000000000018038
E05005050	7000000000041960
E05005051	7000000000018048
E05005052	7000000000018021
E05005053	7000000000018088
E05005054	7000000000018054
E05005055	7000000000018086
E05003695	7000000000014450
E05003696	7000000000014545
E05003697	7000000000014438
E05003698	7000000000042100
E05003699	7000000000014439
E05003700	7000000000042098
E05003701	7000000000042099
E05003702	7000000000014485
E05003703	7000000000014537
E05003704	7000000000014342
E05003705	7000000000014564
E05003706	7000000000014572
E05003707	7000000000014561
E05003708	7000000000014489
E05003709	7000000000014549
E05003710	7000000000014560
E05003711	7000000000014553
E05003712	7000000000014441
E05003713	7000000000014418
E05003714	7000000000014462
E05003715	7000000000014559
E05003716	7000000000014461
E05003717	7000000000014463
E05003718	7000000000014570
E05003719	7000000000014464
E05003720	7000000000014345
E05003721	7000000000014562
E05003722	7000000000014483
E05001972	7000000000000747
E05001973	7000000000000843
E05001974	7000000000025515
E05001975	7000000000000744
E05001976	7000000000025510
E05001977	7000000000025530
E05001978	7000000000000631
E05001979	7000000000000766
E05001980	7000000000000769
E05001981	7000000000039075
E05001982	7000000000000678
E05001983	7000000000000701
E05001984	7000000000025524
E05001985	7000000000025516
E05001986	7000000000000696
E05001987	7000000000025514
E05001988	7000000000000739
E05001989	7000000000000761
E05001990	7000000000025517
E05001991	7000000000000697
E05001992	7000000000000742
E05001993	7000000000000872
E05001994	7000000000000763
E05001995	7000000000000679
E05001996	7000000000000703
E05001997	7000000000000676
E05001998	7000000000000683
E05001999	7000000000000681
E05002000	7000000000000740
E05002001	7000000000000751
E05002002	7000000000000627
E05002003	7000000000025511
E05002004	7000000000000674
E05002005	7000000000000757
E05002006	7000000000000628
E05004652	7000000000017886
E05004653	7000000000017399
E05004654	7000000000017529
E05004655	7000000000017680
E05004656	7000000000017689
E05004657	7000000000017398
E05004658	7000000000017338
E05004659	7000000000017674
E05004660	7000000000017758
E05004661	7000000000017664
E05004662	7000000000017667
E05004663	7000000000017600
E05004664	7000000000017672
E05004665	7000000000017756
E05004666	7000000000017677
E05004667	7000000000041770
E05004668	7000000000017678
E05004669	7000000000017673
E05004670	7000000000017404
E05004671	7000000000017753
E05004672	7000000000017407
E05004673	7000000000041768
E05004674	7000000000017411
E05004675	7000000000041769
E05004676	7000000000017550
E05004677	7000000000017661
E05003723	7000000000014414
E05003724	7000000000014358
E05003725	7000000000038950
E05003726	7000000000014272
E05003727	7000000000014574
E05003728	7000000000038951
E05003729	7000000000014352
E05003730	7000000000014360
E05003731	7000000000014267
E05003732	7000000000014270
E05003733	7000000000014355
E05003734	7000000000014372
E05003735	7000000000014386
E05003736	7000000000014377
E05007286	7000000000014110
E05007287	7000000000014133
E05007288	7000000000042072
E05007289	7000000000042073
E05007290	7000000000013996
E05007291	7000000000014011
E05007292	7000000000014004
E05007293	7000000000014076
E05007294	7000000000014080
E05007295	7000000000013991
E05007296	7000000000013995
E05007297	7000000000014108
E05007298	7000000000014101
E05007299	7000000000014104
E05007300	7000000000014194
E05007301	7000000000014020
E05007302	7000000000013999
E05007303	7000000000014078
E05007304	7000000000014102
E05007305	7000000000014006
E05007306	7000000000014100
E05007307	7000000000014073
E05009352	7000000000017443
E05009353	7000000000017452
E05009354	7000000000041822
E05009355	7000000000041823
E05009356	7000000000041821
E05009357	7000000000017453
E05009358	7000000000017465
E05009359	7000000000017483
E05009360	7000000000017464
E05009361	7000000000017471
E05009362	7000000000017474
E05004497	7000000000017581
E05004498	7000000000041917
E05004499	7000000000017576
E05004500	7000000000017554
E05004501	7000000000017585
E05004502	7000000000017584
E05004503	7000000000017582
E05004504	7000000000017583
E05004505	7000000000017589
E05004506	7000000000017594
E05004507	7000000000017534
E05004508	7000000000041916
