AreaTypeIdentifier,AreaTypeUri,AreaTypeLabel,AreaTypeDescription,AreaIdentifier,AreaUri,AreaLabel,AreaAltLabels,AreaDescription,AreaColour
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000116,http://id.esd.org.uk/neighbourhood/E07000116,Tunbridge Wells,,,625316
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000112,http://id.esd.org.uk/neighbourhood/E07000112,Shepway,,,8b7d4b
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000115,http://id.esd.org.uk/neighbourhood/E07000115,Tonbridge and Malling,,,e0353c
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000130,http://id.esd.org.uk/neighbourhood/E07000130,Charnwood,,,7509a1
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000126,http://id.esd.org.uk/neighbourhood/E07000126,South Ribble,,,ab1dd5
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000132,http://id.esd.org.uk/neighbourhood/E07000132,Hinckley and Bosworth,,,a23ef1
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000125,http://id.esd.org.uk/neighbourhood/E07000125,Rossendale,,,31ad80
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000122,http://id.esd.org.uk/neighbourhood/E07000122,Pendle,,,64d568
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000134,http://id.esd.org.uk/neighbourhood/E07000134,North West Leicestershire,,,9ba18a
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000123,http://id.esd.org.uk/neighbourhood/E07000123,Preston,,,33bb1b
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000136,http://id.esd.org.uk/neighbourhood/E07000136,Boston,,,4924e2
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000135,http://id.esd.org.uk/neighbourhood/E07000135,Oadby and Wigston,,,ada5be
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000131,http://id.esd.org.uk/neighbourhood/E07000131,Harborough,,,753ee3
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000129,http://id.esd.org.uk/neighbourhood/E07000129,Blaby,,,7a0a57
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000127,http://id.esd.org.uk/neighbourhood/E07000127,West Lancashire,,,5fd7c9
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000124,http://id.esd.org.uk/neighbourhood/E07000124,Ribble Valley,,,8af35c
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000128,http://id.esd.org.uk/neighbourhood/E07000128,Wyre,,,33e410
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000133,http://id.esd.org.uk/neighbourhood/E07000133,Melton,,,f26b19
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000141,http://id.esd.org.uk/neighbourhood/E07000141,South Kesteven,,,e0a8d4
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000140,http://id.esd.org.uk/neighbourhood/E07000140,South Holland,,,b813f8
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000143,http://id.esd.org.uk/neighbourhood/E07000143,Breckland,,,896d76
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000138,http://id.esd.org.uk/neighbourhood/E07000138,Lincoln,,,4f648d
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000150,http://id.esd.org.uk/neighbourhood/E07000150,Corby,,,03ac6d
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000149,http://id.esd.org.uk/neighbourhood/E07000149,South Norfolk,,,9d0ddf
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000142,http://id.esd.org.uk/neighbourhood/E07000142,West Lindsey,,,531dd5
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000139,http://id.esd.org.uk/neighbourhood/E07000139,North Kesteven,,,ca8145
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000146,http://id.esd.org.uk/neighbourhood/E07000146,King's Lynn and West Norfolk,,,ecb786
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000147,http://id.esd.org.uk/neighbourhood/E07000147,North Norfolk,,,a78a6e
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000137,http://id.esd.org.uk/neighbourhood/E07000137,East Lindsey,,,7e8ab6
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000145,http://id.esd.org.uk/neighbourhood/E07000145,Great Yarmouth,,,2db72c
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000148,http://id.esd.org.uk/neighbourhood/E07000148,Norwich,,,8c8541
LA,http://id.esd.org.uk/neighbourhood/LA,Local authority,,E07000144,http://id.esd.org.uk/neighbourhood/E07000144,Broadland,,,801c1f
