Local_Authority_Name	OpenDataCommunitiesURI	ONS_Code	DCLGbillingAuthorityCode	LA_Type_Label	Authority_Type
South Staffordshire	http://opendatacommunities.org/id/district-council/south-staffordshire	E07000196	E3435	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
South Tyneside	http://opendatacommunities.org/id/metropolitan-district-council/south-tyneside	E08000023	E4504	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
South Yorkshire Fire & CD Authority	http://opendatacommunities.org/id/fire-authority/south-yorkshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
South Yorkshire Integrated Transport Authority	http://opendatacommunities.org/id/transport-authority/south-yorkshire			Transport Authority	http://opendatacommunities.org/def/local-government/TransportAuthority
South Yorkshire Police Authority	http://opendatacommunities.org/id/police-authority/south-yorkshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Southampton	http://opendatacommunities.org/id/unitary-authority/southampton	E06000045	E1702	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Southend-on-Sea	http://opendatacommunities.org/id/unitary-authority/southend	E06000033	E1501	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Southwark	http://opendatacommunities.org/id/london-borough-council/southwark	E09000028	E5019	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Spelthorne	http://opendatacommunities.org/id/district-council/spelthorne	E07000213	E3637	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
St Albans	http://opendatacommunities.org/id/district-council/st-albans	E07000240	E1936	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
St Edmundsbury	http://opendatacommunities.org/id/district-council/st-edmundsbury	E07000204	E3535	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
St. Helens	http://opendatacommunities.org/id/metropolitan-district-council/st-helens	E08000013	E4303	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Stafford	http://opendatacommunities.org/id/district-council/stafford	E07000197	E3436	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Staffordshire	http://opendatacommunities.org/id/county-council/staffordshire	E10000028	E3421	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Staffordshire Combined Fire Authority	http://opendatacommunities.org/id/fire-authority/staffordshire			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Staffordshire Moorlands	http://opendatacommunities.org/id/district-council/staffordshire-moorlands	E07000198	E3437	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Staffordshire Police Authority	http://opendatacommunities.org/id/police-authority/staffordshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Stevenage	http://opendatacommunities.org/id/district-council/stevenage	E07000243	E1937	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Stockport	http://opendatacommunities.org/id/metropolitan-district-council/stockport	E08000007	E4207	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Stockton-on-Tees	http://opendatacommunities.org/id/unitary-authority/stockton-on-tees	E06000004	E0704	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Stoke-on-Trent	http://opendatacommunities.org/id/unitary-authority/stoke-on-trent	E06000021	E3401	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Stratford-on-Avon	http://opendatacommunities.org/id/district-council/stratford	E07000221	E3734	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Stroud	http://opendatacommunities.org/id/district-council/stroud	E07000082	E1635	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Suffolk	http://opendatacommunities.org/id/county-council/suffolk	E10000029	E3520	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Suffolk Coastal	http://opendatacommunities.org/id/district-council/suffolk-coastal	E07000205	E3536	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Suffolk Police Authority	http://opendatacommunities.org/id/police-authority/suffolk			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Sunderland	http://opendatacommunities.org/id/metropolitan-district-council/sunderland	E08000024	E4505	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Surrey	http://opendatacommunities.org/id/county-council/surrey	E10000030	E3620	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Surrey Heath	http://opendatacommunities.org/id/district-council/surrey-heath	E07000214	E3638	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Surrey Police Authority (new)	http://opendatacommunities.org/id/police-authority/surrey			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Sussex Police Authority	http://opendatacommunities.org/id/police-authority/sussex			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Sutton	http://opendatacommunities.org/id/london-borough-council/sutton	E09000029	E5048	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Swale	http://opendatacommunities.org/id/district-council/swale	E07000113	E2241	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Swindon	http://opendatacommunities.org/id/unitary-authority/swindon	E06000030	E3901	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Tameside	http://opendatacommunities.org/id/metropolitan-district-council/tameside	E08000008	E4208	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Tamworth	http://opendatacommunities.org/id/district-council/tamworth	E07000199	E3439	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Tandridge	http://opendatacommunities.org/id/district-council/tandridge	E07000215	E3639	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Taunton Deane	http://opendatacommunities.org/id/district-council/taunton-deane	E07000190	E3333	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Teignbridge	http://opendatacommunities.org/id/district-council/teignbridge	E07000045	E1137	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Telford and Wrekin	http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin	E06000020	E3201	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Tendring	http://opendatacommunities.org/id/district-council/tendring	E07000076	E1542	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Test Valley	http://opendatacommunities.org/id/district-council/test-valley	E07000093	E1742	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Tewkesbury	http://opendatacommunities.org/id/district-council/tewkesbury	E07000083	E1636	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Thames Valley Police Authority	http://opendatacommunities.org/id/police-authority/thames-valley			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Thanet	http://opendatacommunities.org/id/district-council/thanet	E07000114	E2242	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
The Broads Authority	http://opendatacommunities.org/id/national-park-authority/the-broads			National Park Authority	http://opendatacommunities.org/def/local-government/NationalParkAuthority
Three Rivers	http://opendatacommunities.org/id/district-council/three-rivers	E07000102	E1938	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Thurrock	http://opendatacommunities.org/id/unitary-authority/thurrock	E06000034	E1502	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Tonbridge and Malling	http://opendatacommunities.org/id/district-council/tonbridge-and-malling	E07000115	E2243	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Torbay	http://opendatacommunities.org/id/unitary-authority/torbay	E06000027	E1102	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Torridge	http://opendatacommunities.org/id/district-council/torridge	E07000046	E1139	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Tower Hamlets	http://opendatacommunities.org/id/london-borough-council/tower-hamlets	E09000030	E5020	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Trafford	http://opendatacommunities.org/id/metropolitan-district-council/trafford	E08000009	E4209	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Tunbridge Wells	http://opendatacommunities.org/id/district-council/tunbridge-wells	E07000116	E2244	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Tyne and Wear Fire & CD Authority	http://opendatacommunities.org/id/fire-authority/tyne-and-wear			Fire Authority	http://opendatacommunities.org/def/local-government/FireAuthority
Tyne and Wear Integrated Transport Authority	http://opendatacommunities.org/id/transport-authority/tyne-and-wear			Transport Authority	http://opendatacommunities.org/def/local-government/TransportAuthority
Uttlesford	http://opendatacommunities.org/id/district-council/uttlesford	E07000077	E1544	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Vale of White Horse	http://opendatacommunities.org/id/district-council/vale-of-white-horse	E07000180	E3134	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Wakefield	http://opendatacommunities.org/id/metropolitan-district-council/wakefield	E08000036	E4705	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Walsall	http://opendatacommunities.org/id/metropolitan-district-council/walsall	E08000030	E4606	Metropolitan District Council	http://opendatacommunities.org/def/local-government/MetropolitanDistrictCouncil
Waltham Forest	http://opendatacommunities.org/id/london-borough-council/waltham-forest	E09000031	E5049	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Wandsworth	http://opendatacommunities.org/id/london-borough-council/wandsworth	E09000032	E5021	London Borough Council	http://opendatacommunities.org/def/local-government/LondonBoroughCouncil
Warrington	http://opendatacommunities.org/id/unitary-authority/warrington	E06000007	E0602	Unitary Authority	http://opendatacommunities.org/def/local-government/UnitaryAuthority
Warwick	http://opendatacommunities.org/id/district-council/warwick	E07000222	E3735	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Warwickshire	http://opendatacommunities.org/id/county-council/warwickshire	E10000031	E3720	County Council	http://opendatacommunities.org/def/local-government/CountyCouncil
Warwickshire Police Authority	http://opendatacommunities.org/id/police-authority/warwickshire			Police Authority	http://opendatacommunities.org/def/local-government/PoliceAuthority
Watford	http://opendatacommunities.org/id/district-council/watford	E07000103	E1939	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Waveney	http://opendatacommunities.org/id/district-council/waveney	E07000206	E3537	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Waverley	http://opendatacommunities.org/id/district-council/waverley	E07000216	E3640	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Wealden	http://opendatacommunities.org/id/district-council/wealden	E07000065	E1437	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Wellingborough	http://opendatacommunities.org/id/district-council/wellingborough	E07000156	E2837	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
Welwyn Hatfield	http://opendatacommunities.org/id/district-council/welwyn-hatfield	E07000241	E1940	District Council	http://opendatacommunities.org/def/local-government/DistrictCouncil
