local-authority	uk	local-authority-type	parent-local-authority	name	name-cy	official-name	website	start-date	end-date	snac
LAN-UD	ENG		LAN			Burnley Borough Council	http://www.burnley.gov.uk			30UD
LAN-UJ	ENG		LAN			Pendle Borough Council	http://www.pendle.gov.uk			30UJ
LAN-UF	ENG		LAN			Fylde Borough Council	http://www.fylde.gov.uk			30UF
LAN	ENG	CTY	LAN	Lancashire		Lancashire County Council	http://www.lancashire.gov.uk			30
LAN-UK	ENG		LAN			Preston City Council	http://www.preston.gov.uk			30UK
LAN-UE	ENG		LAN			Chorley Council	http://www.chorley.gov.uk			30UE
LAN-UM	ENG		LAN			Rossendale Borough Council	http://www.rossendale.gov.uk			30UM
LAN-UH	ENG		LAN			Lancaster City Council	http://www.lancaster.gov.uk			30UH
LAN-UP	ENG		LAN			West Lancashire Borough Council	http://www.westlancs.gov.uk			30UP
LAN-UL	ENG		LAN			Ribble Valley Borough Council	https://www.ribblevalley.gov.uk			30UL
LAN-UQ	ENG		LAN			Wyre Council	http://www.wyre.gov.uk			30UQ
LEC-UE	ENG		LEC			Hinckley and Bosworth Borough Council	http://www.hinckley-bosworth.gov.uk			31UE
LEC-UB	ENG		LEC			Blaby District Council	http://www.blaby.gov.uk			31UB
LEC-UC	ENG		LEC			Charnwood Borough Council	http://www.charnwood.gov.uk			31UC
LEC-UH	ENG		LEC			North West Leicestershire District Council	http://www.nwleics.gov.uk			31UH
LEC-UJ	ENG		LEC			Oadby and Wigston District Council	http://oadby-wigston.gov.uk/Home/Home.aspx			31UJ
LEC-UG	ENG		LEC			Melton Borough Council	http://www.melton.gov.uk			31UG
LEC	ENG	CTY	LEC	Leicestershire		Leicestershire County Council	http://www.leics.gov.uk			31
LEC-UD	ENG		LEC			Harborough District Council	http://www.harborough.gov.uk			31UD
LIN-UE	ENG		LIN			North Kesteven District Council	http://www.n-kesteven.gov.uk			32UE
LIN	ENG	CTY	LIN	Lincolnshire		Lincolnshire County Council	http://www.lincolnshire.gov.uk			32
LIN-UH	ENG		LIN			West Lindsey District Council	http://www.west-lindsey.gov.uk			32UH
LIN-UC	ENG		LIN			East Lindsey District Council	http://www.e-lindsey.gov.uk			32UC
LIN-UB	ENG		LIN			Boston Borough Council	http://www.boston.gov.uk			32UB
LIN-UF	ENG		LIN			South Holland District Council	http://www.sholland.gov.uk			32UF
LIN-UG	ENG		LIN			South Kesteven District Council	http://www.southkesteven.gov.uk			32UG
LIN-UD	ENG		LIN			City of Lincoln Council	http://www.lincoln.gov.uk			32UD
